PlayMusic,listen to westbam alumb allergic on google music
AddToPlaylist,add step to me to the 50 clásicos playlist 
RateBook,i give this current textbook a rating value of 1 and a best rating of 6
PlayMusic,play the song little robin redbreast
AddToPlaylist,please add iris dement to my playlist this is selena
AddToPlaylist,add slimm cutta calhoun to my this is prince playlist  
PlayMusic,i want to listen to seventies music 
PlayMusic,play a popular chant by brian epstein
SearchScreeningEvent,find fish story 
BookRestaurant,book a spot for 3 in mt
GetWeather,i need a forecast for jetmore  massachusetts in 1 hour and 1 second from now
RateBook,rate this series a 5
SearchScreeningEvent,give me a list of movie times for films in the area 
PlayMusic,can you play me some eighties music by adele
GetWeather,please let me know the weather forcast of stanislaus national forest far in nine months
BookRestaurant,book a restaurant for eight people in six years   
BookRestaurant,i need to book a restaurant in fork mountain  sc for valarie  mari and i
AddToPlaylist,add to playlist confidence boost here comes santa claus
BookRestaurant,book a restaurant at sixteen o clock in sc
AddToPlaylist,add another artist to the spotlight on country 2016 playlist  
SearchScreeningEvent,find a movie house showing cage without a key
AddToPlaylist,add sugarolly days to my list  your favorite slaughterhouse
SearchCreativeWork,show me the picture creatures of light and darkness
SearchCreativeWork,search for the adventures of cookie & cream
AddToPlaylist,add this track to my global funk
SearchScreeningEvent,find animated movies nearest at a movie house
SearchCreativeWork,play hell house song
RateBook,give this novel 5 stars
SearchScreeningEvent,find me showtimes for animated movies in the neighbourhood 
SearchScreeningEvent,find movie times
PlayMusic,play the top-20 best chicane songs on deezer
RateBook,i want to give this current textbook 4 points 
AddToPlaylist,add manuelita to my indiespensables playlist
SearchScreeningEvent,show movie schedules for douglas theatre company
SearchCreativeWork,i d like to see the show onion sportsdome 
BookRestaurant,i d like to go to the popular bistro in oh
GetWeather,what s the weather in my current spot the day after tomorrow
PlayMusic,play playlist the realest down south
AddToPlaylist,add this artist to gretchen s soul revived playlist
SearchCreativeWork,find a video game called victory march
SearchCreativeWork,find a novel called industry 
BookRestaurant,book a taverna that serves vichyssoise within walking distance in oh
SearchScreeningEvent,let me see the movie schedule for seed of chucky
PlayMusic,play a chant by mj cole
